Target,Source
Tadeusz Mazowiecki,KIK
Jakub Kiersnowski,KIK
Joanna Święcicka,KIK
Piotr Cywiński,KIK
Wojciech Arkuszewski,KIK
Maria Krzysztof Byrski,KIK
Bohdan Cywiński,KIK
Ludwik Dembiński,KIK
Izabela Dzieduszycka,KIK
Juliusz Eska,KIK
Andrzej Friszke,KIK
Stefan Kisielewski,KIK
Jerzy Kłoczowski,KIK
Julia Maria Koszewska,KIK
Zofia Kozłowska,KIK
Zygmunt Kubiak,KIK
Jacek Michałowski,KIK
Zbigniew Nosowski,KIK
Andrzej Paszewski,KIK
Hanna Iłowiecka-Przeciszewska,KIK
Andrzej Strzelecki,KIK
Feliks Sawicki,KIK
Zygmunt Skórzyński,KIK
Adam Stanowski,KIK
Andrzej Stelmachowski,KIK
Stanisław Stomma,KIK
Krzysztof Śliwiński,KIK
Andrzej Święcicki,KIK
Stefan Swieżawski,KIK
Jan Turnau,KIK
Jerzy Turowicz,KIK
Aniela Urbanowicz,KIK
Andrzej Wielowieyski,KIK
Stefan Wilkanowicz,KIK
Henryk Wujec,KIK
Marek Zając,KIK
Jerzy Zawieyski,KIK
Ryszard Bender,KIK
Konstanty Łubieński,KIK
Janusz Zabłocki,KIK
Wojciech Ostrowski,KIK
Wojciech Onyszkiewicz,KIK
Antoni Macierewicz,KOR
Piotr Naimski,KOR
Jan Józef Lipski,KOR
Jacek Kuroń,KOR
Henryk Wujec,KOR
Wojciech Onyszkiewicz,KOR
Halina Mikołajska,KOR
Mirosław Chojecki,KOR
Emil Morgiewicz,KOR
Wacław Zawadzki,KOR
Bogdan Borusewicz,KOR
Józef Śreniowski,KOR
Anka Kowalska,KOR
Stefan Kaczorowski,KOR
Adam Michnik,KOR
ks. Zbigniew Kamiński,KOR
Jan Kielanowski,KOR
Leszek Kołakowski,KOR
Jerzy Andrzejewski,KOR
Stanisław Barańczak,KOR
Ludwik Cohn,KOR
Edward Lipiński,KOR
Antoni Pajdak,KOR
Józef Rybicki,KOR
Aniela Steinsbergowa,KOR
Adam Szczypiorski,KOR
ks. Jan Zieja,KOR
Wojciech Ziembiński,KOR
Wojciech Arkuszewski,KOR
Konrad Bieliński,KOR
Jacek Bierezin,KOR
Seweryn Blumsztajn,KOR
Grzegorz Boguta,KOR
Andrzej Celiński,KOR
Ludwik Dorn,KOR
Marek Edelman,KOR
Wojciech Fałkowski,KOR
Krzysztof Hagemejer,KOR
Helena Łuczywo,KOR
Witold Łuczywo,KOR
Jan Krzysztof Kelus,KOR
Andrzej Tadeusz Kijowski,KOR
Jacek Kleyff,KOR
Eugeniusz Kloc,KOR
Sergiusz Kowalski,KOR
Grażyna Kuroń,KOR
Jan Lityński,KOR
Wojciech Ostrowski,KOR
Zofia Romaszewska,KOR
Zbigniew Romaszewski,KOR
Jan Walc,KOR
Ludwika Wujec,KOR
Krystyna Starczewska,KOR
Stefan Starczewski,KOR
Joanna Szczęsna,KOR
Andrzej Grabiński,KOR
Witold Lis-Olszewski,KOR
Jan Olszewski,KOR
Władysław Siła-Nowicki,KOR
Stanisław Szczuka,KOR
Jacek Taylor,KOR
Adam Michnik,KOMANDOSI
Teresa Bogucka,KOMANDOSI
Jan Gross,KOMANDOSI
Jakub Karpiński,KOMANDOSI
Barbara Toruńczyk,KOMANDOSI
Irena Grudzińska,KOMANDOSI
Aleksander Perski,KOMANDOSI
Jacek Kuroń,KOMANDOSI
Karol Modzelewski,KOMANDOSI
Józef Dajczgewand,KOMANDOSI
Jan Lityński,KOMANDOSI
Piotr Ikonowicz,PPS
Józef Pinior,PPS
Jan Józef Lipski,PPS
Władysław Kunicki-Goldfinger,PPS
Andrzej Malanowski,PPS
Marek Nowicki,PPS
Czesław Borowczyk,PPS
Zuzanna Dąbrowska,PPS
Grzegorz Ilka,PPS
Janusz Król,PPS
Aleksander Krystosiak,PPS
Agata Michałek,PPS
Cezary Miżejewski,PPS
Jacek Pawłowicz,PPS
Tadeusz Rachowski,PPS
Mieczysław Krajewski,PPS
Tadeusz Bilewicz,PPS
Edward Osóbka-Morawski,PPS
Tomasz Truskawa,PPS
Lidia Ciołkoszowa,PPS
Włodzimierz Olejnik,PPS
